Section 1: Benchmark Configuration
==================================
mode=detailed
suite_tiers=extended
et_mode=paired
reactive_zero_skip=On
proactive_zero_run_skip=On
zero_run_order_mode=execution
bit_column_skip=On
warmup_iterations=0
timed_repetitions=1
grouping_policies=OutputChannelModulo,TaskRoundRobin,ETAwareCostBalanced,ETAwareCostBalancedMemoryAware,BroadcastPhaseAwareFanoutBalanced
scenario_count=17
exactness_pass=PASS
primary_invariants_pass=PASS

Section 2: Detailed Primary Metrics
===================================
scenario | grouping_policy | et_enabled | cycles_mean | wall_median_ms | throughput_macs_per_cycle | lane_occupancy | multiplier_utilization | accumulator_utilization | memory_stall_ratio | broadcast_stall_ratio | dram_bytes | onchip_buffer_bytes | activation_reuse_hits | activation_reuse_misses | weight_reuse_hits | weight_reuse_misses | memory_requests_avoided | work_stealing_events | tasks_terminated_early | output_elements_terminated_early | macs_skipped_total | macs_skipped_et_only | macs_skipped_reactive_only | macs_skipped_proactive_only | macs_skipped_zero_only | bit_steps_skipped_total | bit_steps_skipped_et_only | bit_steps_skipped_bit_column_only | zero_run_events | average_processed_fraction_per_task | mismatches
extended-mnist-sample-18 (label=3) | ETAwareCostBalanced | Off | 18241.000 | 1407.483705 | 0.828902 | 0.275222 | 0.065557 | 0.065557 | 0.644007 | 0.073749 | 25370 | 84987 | 14910 | 210 | 15048 | 72 | 55627 | 1585 | 0 | 0 | 41328 | 0 | 2339 | 38989 | 41328 | 77910 | 0 | 77910 | 5539 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | ETAwareCostBalanced | On | 14465.000 | 1616.414315 | 0.672451 | 0.245291 | 0.055408 | 0.055408 | 0.690064 | 0.056452 | 25370 | 75614 | 10571 | 210 | 10709 | 72 | 38966 | 2452 | 3830 | 3830 | 45667 | 8047 | 204 | 37416 | 37620 | 121771 | 69490 | 52281 | 4635 | 0.190990 | 0
extended-mnist-sample-18 (label=3) | ETAwareCostBalancedMemoryAware | Off | 18288.000 | 2269.691686 | 0.826772 | 0.274515 | 0.065389 | 0.065389 | 0.651962 | 0.072511 | 25370 | 85281 | 14910 | 210 | 15048 | 72 | 55333 | 2248 | 0 | 0 | 41328 | 0 | 2339 | 38989 | 41328 | 77910 | 0 | 77910 | 5539 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | ETAwareCostBalancedMemoryAware | On | 14444.000 | 3007.714602 | 0.673428 | 0.245648 | 0.055488 | 0.055488 | 0.680544 | 0.061990 | 25370 | 75294 | 10571 | 210 | 10709 | 72 | 39286 | 4581 | 3830 | 3830 | 45667 | 8047 | 204 | 37416 | 37620 | 121771 | 69490 | 52281 | 4635 | 0.190990 | 0
extended-mnist-sample-18 (label=3) | BroadcastPhaseAwareFanoutBalanced | Off | 17606.000 | 845.194768 | 0.858798 | 0.285149 | 0.067922 | 0.067922 | 0.623856 | 0.085190 | 25370 | 83439 | 14910 | 210 | 15048 | 72 | 57175 | 510 | 0 | 0 | 41328 | 0 | 2339 | 38989 | 41328 | 77910 | 0 | 77910 | 5539 | 0.267857 | 0
extended-mnist-sample-18 (label=3) | BroadcastPhaseAwareFanoutBalanced | On | 14077.000 | 797.348140 | 0.690985 | 0.252052 | 0.056935 | 0.056935 | 0.683025 | 0.060469 | 25370 | 74620 | 10571 | 210 | 10709 | 72 | 39960 | 960 | 3830 | 3830 | 45667 | 8047 | 204 | 37416 | 37620 | 121771 | 69490 | 52281 | 4635 | 0.190990 | 0
extended-mnist-sample-2 (label=1) | OutputChannelModulo | Off | 9372.000 | 506.418974 | 0.491677 | 0.230735 | 0.038887 | 0.038887 | 0.728761 | 0.026847 | 25224 | 59920 | 4544 | 64 | 4536 | 72 | 17768 | 985 | 0 | 0 | 51840 | 0 | 1011 | 50829 | 51840 | 23744 | 0 | 23744 | 6233 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | OutputChannelModulo | On | 8197.000 | 409.218028 | 0.360132 | 0.206935 | 0.030228 | 0.030228 | 0.761193 | 0.014107 | 25224 | 57389 | 3279 | 64 | 3271 | 72 | 12709 | 1023 | 4372 | 4372 | 53105 | 3090 | 62 | 49953 | 50015 | 42544 | 26610 | 15934 | 5773 | 0.059223 | 0
extended-mnist-sample-2 (label=1) | TaskRoundRobin | Off | 9336.000 | 423.049951 | 0.493573 | 0.231624 | 0.039036 | 0.039036 | 0.744775 | 0.013585 | 25224 | 60208 | 4544 | 64 | 4536 | 72 | 17480 | 39 | 0 | 0 | 51840 | 0 | 1011 | 50829 | 51840 | 23744 | 0 | 23744 | 6233 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | TaskRoundRobin | On | 8321.000 | 403.666647 | 0.354765 | 0.203852 | 0.029777 | 0.029777 | 0.780238 | 0.007077 | 25224 | 57678 | 3279 | 64 | 3271 | 72 | 12420 | 22 | 4372 | 4372 | 53105 | 3090 | 62 | 49953 | 50015 | 42544 | 26610 | 15934 | 5773 | 0.059223 | 0
extended-mnist-sample-2 (label=1) | ETAwareCostBalanced | Off | 8896.000 | 1319.202220 | 0.517986 | 0.243081 | 0.040967 | 0.040967 | 0.709682 | 0.043350 | 25224 | 60063 | 4544 | 64 | 4536 | 72 | 17625 | 1943 | 0 | 0 | 51840 | 0 | 1011 | 50829 | 51840 | 23744 | 0 | 23744 | 6233 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | ETAwareCostBalanced | On | 8038.000 | 1320.209284 | 0.367256 | 0.211029 | 0.030826 | 0.030826 | 0.746261 | 0.029361 | 25224 | 57500 | 3279 | 64 | 3271 | 72 | 12598 | 2134 | 4372 | 4372 | 53105 | 3090 | 62 | 49953 | 50015 | 42544 | 26610 | 15934 | 5773 | 0.059223 | 0
extended-mnist-sample-2 (label=1) | ETAwareCostBalancedMemoryAware | Off | 9192.000 | 4517.256713 | 0.501305 | 0.235253 | 0.039648 | 0.039648 | 0.707672 | 0.055063 | 25224 | 60068 | 4544 | 64 | 4536 | 72 | 17620 | 4369 | 0 | 0 | 51840 | 0 | 1011 | 50829 | 51840 | 23744 | 0 | 23744 | 6233 | 0.081633 | 0
extended-mnist-sample-2 (label=1) | ETAwareCostBalancedMemoryAware | On | 8104.000 | 3918.834112 | 0.364265 | 0.209310 | 0.030575 | 0.030575 | 0.733249 | 0.041300 | 25224 | 57533 | 3279 | 64 | 3271 | 72 | 12565 | 4607 | 4372 | 4372 | 53105 | 3090 | 62 | 49953 | 50015 | 42544 | 26610 | 15934 | 5773 | 0.059223 | 0
